sprint_id,project_id,sprint_name,velocity,completion_rate,team_utilization,days_remaining,is_delayed,status
54,37,Sprint_54,20,65,93,5,1,ACTIVE
55,72,Sprint_55,52,42,89,7,1,COMPLETED
56,39,Sprint_56,53,66,109,13,1,ACTIVE
57,59,Sprint_57,48,71,77,3,0,COMPLETED
58,62,Sprint_58,40,79,60,13,0,ACTIVE
59,82,Sprint_59,33,50,65,9,1,COMPLETED
60,59,Sprint_60,46,75,55,9,0,ACTIVE
61,99,Sprint_61,32,44,104,6,1,COMPLETED
62,16,Sprint_62,59,88,73,5,0,COMPLETED
63,83,Sprint_63,40,94,108,12,1,ACTIVE
64,88,Sprint_64,19,53,52,14,1,COMPLETED
65,74,Sprint_65,59,78,54,9,0,COMPLETED
66,100,Sprint_66,65,44,96,4,1,ACTIVE
67,96,Sprint_67,49,83,115,6,1,COMPLETED
68,73,Sprint_68,39,84,88,1,0,ACTIVE
69,44,Sprint_69,59,89,71,5,0,ACTIVE
70,14,Sprint_70,50,51,92,3,1,ACTIVE
71,59,Sprint_71,60,98,106,2,1,ACTIVE
72,63,Sprint_72,47,40,56,8,1,ACTIVE
73,50,Sprint_73,18,45,85,7,1,COMPLETED
74,82,Sprint_74,53,41,86,3,1,ACTIVE
75,44,Sprint_75,46,77,67,7,0,ACTIVE
76,24,Sprint_76,33,89,79,8,0,COMPLETED
77,100,Sprint_77,48,76,58,10,0,COMPLETED
78,47,Sprint_78,28,66,62,12,1,COMPLETED
79,33,Sprint_79,41,94,88,13,0,COMPLETED
80,31,Sprint_80,49,60,81,3,0,COMPLETED
81,11,Sprint_81,31,60,69,4,0,ACTIVE
82,25,Sprint_82,28,73,68,13,1,ACTIVE
83,52,Sprint_83,33,84,115,6,1,ACTIVE
84,93,Sprint_84,49,43,97,6,1,COMPLETED
85,53,Sprint_85,22,71,61,5,1,COMPLETED
86,6,Sprint_86,17,58,104,12,0,ACTIVE
87,48,Sprint_87,63,72,119,11,1,COMPLETED
88,41,Sprint_88,41,64,55,3,0,COMPLETED
89,14,Sprint_89,38,83,113,9,1,ACTIVE
90,30,Sprint_90,38,55,70,9,1,ACTIVE
91,83,Sprint_91,47,86,110,14,1,COMPLETED
92,75,Sprint_92,43,100,52,4,0,COMPLETED
93,20,Sprint_93,49,87,57,10,0,ACTIVE
94,25,Sprint_94,22,72,99,7,1,ACTIVE
95,14,Sprint_95,23,80,83,2,1,ACTIVE
96,37,Sprint_96,19,75,97,5,1,COMPLETED
97,44,Sprint_97,38,47,80,11,1,COMPLETED
98,93,Sprint_98,49,50,75,4,0,ACTIVE
99,89,Sprint_99,47,64,54,6,0,COMPLETED
100,15,Sprint_100,56,43,88,7,1,COMPLETED
101,49,Sprint_101,57,85,102,6,1,COMPLETED
102,10,Sprint_102,36,68,109,14,1,ACTIVE
103,19,Sprint_103,46,99,91,5,0,COMPLETED
104,66,Sprint_104,15,99,109,5,1,COMPLETED
105,46,Sprint_105,50,77,55,9,0,COMPLETED
106,61,Sprint_106,36,97,62,1,0,ACTIVE
107,9,Sprint_107,21,78,85,10,1,COMPLETED
108,75,Sprint_108,52,47,63,9,1,ACTIVE
109,61,Sprint_109,60,92,75,13,1,ACTIVE
110,64,Sprint_110,65,67,103,3,1,COMPLETED
111,19,Sprint_111,63,76,90,2,0,COMPLETED
112,32,Sprint_112,43,62,50,8,0,ACTIVE
113,10,Sprint_113,41,76,111,12,1,ACTIVE
114,95,Sprint_114,24,93,116,10,1,ACTIVE
115,17,Sprint_115,48,44,80,8,1,ACTIVE
116,17,Sprint_116,20,54,117,12,0,COMPLETED
117,48,Sprint_117,48,67,116,6,1,ACTIVE
118,65,Sprint_118,36,59,87,5,0,ACTIVE
119,5,Sprint_119,19,51,104,10,1,COMPLETED
120,21,Sprint_120,41,56,76,10,1,COMPLETED
121,77,Sprint_121,16,78,58,10,1,COMPLETED
122,68,Sprint_122,22,90,85,2,1,COMPLETED
123,65,Sprint_123,18,68,73,1,0,COMPLETED
124,68,Sprint_124,20,67,118,11,1,ACTIVE
125,31,Sprint_125,60,46,114,13,1,COMPLETED
126,43,Sprint_126,59,100,112,1,0,ACTIVE
127,34,Sprint_127,53,54,71,13,1,COMPLETED
128,22,Sprint_128,38,92,75,3,0,ACTIVE
129,97,Sprint_129,34,91,50,9,0,ACTIVE
130,73,Sprint_130,42,100,69,3,0,ACTIVE
131,78,Sprint_131,50,45,83,9,0,COMPLETED
132,60,Sprint_132,33,70,77,5,0,COMPLETED
133,11,Sprint_133,25,53,78,3,1,ACTIVE
134,27,Sprint_134,46,86,97,4,1,ACTIVE
135,81,Sprint_135,51,86,87,5,0,COMPLETED
136,73,Sprint_136,40,43,92,3,1,ACTIVE
137,64,Sprint_137,37,85,71,1,1,COMPLETED
138,17,Sprint_138,19,81,77,8,1,COMPLETED
139,10,Sprint_139,51,78,107,10,1,ACTIVE
140,73,Sprint_140,60,91,61,12,0,ACTIVE
141,49,Sprint_141,52,89,106,3,1,COMPLETED
142,12,Sprint_142,62,88,89,1,0,COMPLETED
143,81,Sprint_143,39,83,72,9,0,COMPLETED
144,86,Sprint_144,45,68,103,11,0,ACTIVE
145,36,Sprint_145,32,77,103,2,0,ACTIVE
146,80,Sprint_146,44,56,69,14,1,ACTIVE
147,37,Sprint_147,17,52,57,2,1,COMPLETED
148,6,Sprint_148,24,84,97,13,1,COMPLETED
149,60,Sprint_149,47,93,88,13,0,COMPLETED
150,13,Sprint_150,28,96,68,4,0,ACTIVE
151,71,Sprint_151,58,62,58,9,0,ACTIVE
152,24,Sprint_152,18,89,104,6,1,COMPLETED
153,86,Sprint_153,43,41,81,3,1,ACTIVE
154,94,Sprint_154,24,66,105,10,1,ACTIVE
155,28,Sprint_155,24,53,72,13,1,COMPLETED
156,11,Sprint_156,45,47,89,10,0,COMPLETED
157,36,Sprint_157,52,97,119,6,1,COMPLETED
158,35,Sprint_158,63,60,57,12,0,COMPLETED
159,57,Sprint_159,39,68,80,11,0,COMPLETED
160,33,Sprint_160,41,89,68,14,0,ACTIVE
161,48,Sprint_161,37,92,61,11,0,ACTIVE
162,62,Sprint_162,24,68,110,13,1,COMPLETED
163,56,Sprint_163,54,64,85,5,0,COMPLETED
164,69,Sprint_164,64,81,72,2,1,COMPLETED
165,43,Sprint_165,32,64,103,11,1,ACTIVE
166,99,Sprint_166,46,49,79,3,1,COMPLETED
167,9,Sprint_167,38,62,73,7,0,ACTIVE
168,58,Sprint_168,30,63,58,10,0,COMPLETED
169,40,Sprint_169,44,56,90,5,1,ACTIVE
170,91,Sprint_170,55,66,83,7,0,COMPLETED
171,16,Sprint_171,27,51,65,8,1,ACTIVE
172,57,Sprint_172,62,93,78,1,0,COMPLETED
173,40,Sprint_173,20,83,95,7,1,ACTIVE
174,62,Sprint_174,31,74,52,10,0,COMPLETED
175,65,Sprint_175,48,76,98,9,1,ACTIVE
176,69,Sprint_176,16,80,78,4,1,COMPLETED
177,53,Sprint_177,54,51,63,6,1,COMPLETED
178,64,Sprint_178,56,74,115,3,1,COMPLETED
179,61,Sprint_179,17,92,53,10,0,ACTIVE
180,7,Sprint_180,61,47,64,13,1,COMPLETED
181,82,Sprint_181,22,53,65,13,1,ACTIVE
182,3,Sprint_182,61,97,119,10,0,ACTIVE
183,49,Sprint_183,40,44,72,11,1,ACTIVE
184,51,Sprint_184,56,90,114,5,1,COMPLETED
185,7,Sprint_185,37,93,52,5,0,ACTIVE
186,68,Sprint_186,23,66,54,1,0,COMPLETED
187,94,Sprint_187,31,43,71,9,1,ACTIVE
188,51,Sprint_188,47,66,68,9,0,COMPLETED
189,11,Sprint_189,51,82,69,2,0,COMPLETED
190,21,Sprint_190,25,95,91,2,1,ACTIVE
191,11,Sprint_191,23,63,112,6,1,COMPLETED
192,18,Sprint_192,19,63,86,10,1,ACTIVE
193,10,Sprint_193,61,86,95,4,0,COMPLETED
194,22,Sprint_194,31,65,90,13,0,COMPLETED
195,21,Sprint_195,16,49,95,6,1,ACTIVE
196,85,Sprint_196,52,98,70,3,1,ACTIVE
197,18,Sprint_197,22,93,91,12,1,COMPLETED
198,25,Sprint_198,65,56,111,9,1,ACTIVE
199,63,Sprint_199,23,66,77,10,1,COMPLETED
200,5,Sprint_200,57,96,97,2,1,COMPLETED
